Schools,Times
Southern California,3:00.77
Arkansas,3:01.09
Texas A&M,3:01.39
Florida,3:01.43
Houston,3:01.51
TEXAS A&M {2},3:01.56
Alabama,3:01.78
ARKANSAS {2},3:02.09
FLORIDA {2},3:02.09
FLORIDA {3},3:02.18
FLORIDA {4},3:02.23
TEXAS A&M {3},3:02.35
Iowa,3:02.40
TEXAS A&M {4},3:02.52
Georgia,3:02.59
FLORIDA {5},3:02.61
FLORIDA {6},3:02.65
Oklahoma,3:02.72
TEXAS A&M {5},3:02.77
TEXAS A&M {6},3:02.80
TEXAS A&M {7},3:02.86
Baylor,3:02.89
GEORGIA {2},3:02.90
TEXAS A&M {8},3:02.95
TEXAS A&M {9},3:02.98
Arizona State,3:03.09
GEORGIA {3},3:03.10
SOUTHERN CALIFORNIA {2},3:03.16
North Carolina A&T,3:03.16
FLORIDA {7},3:03.17
ARKANSAS {3},3:03.18
TEXAS A&M {10},3:03.20
FLORIDA {8},3:03.21
TEXAS A&M {11},3:03.23
TEXAS A&M {12},3:03.23
TEXAS A&M {13},3:03.30
HOUSTON {2},3:03.31
GEORGIA {4},3:03.32
SOUTHERN CALIFORNIA {3},3:03.38
NORTH CAROLINA A&T {2},3:03.39
ALABAMA {2},3:03.44
TEXAS A&M {14},3:03.47
UCLA,3:03.48
FLORIDA {9},3:03.49
FLORIDA {10},3:03.50
ARKANSAS {4},3:03.50
FLORIDA {11},3:03.51
FLORIDA {12},3:03.52
ARIZONA STATE {2},3:03.58
BAYLOR {2},3:03.60
Kentucky,3:03.61
TEXAS A&M {15},3:03.61
OKLAHOMA {2},3:03.71
FLORIDA {13},3:03.71
GEORGIA {5},3:03.74
ARKANSAS {5},3:03.76
TEXAS A&M {16},3:03.88
TEXAS A&M {17},3:03.91
TEXAS A&M {18},3:03.95
FLORIDA {14},3:03.96
BAYLOR {3},3:03.96
ALABAMA {3},3:03.99
LSU,3:04.01
FLORIDA {15},3:04.02
KENTUCKY {2},3:04.04
LSU {2},3:04.04
GEORGIA {6},3:04.07
Tennessee,3:04.08
TENNESSEE {2},3:04.10
LSU {3},3:04.10
FLORIDA {16},3:04.11
SOUTHERN CALIFORNIA {4},3:04.12
NORTH CAROLINA A&T {3},3:04.12
TEXAS A&M {19},3:04.16
HOUSTON {3},3:04.18
TEXAS A&M {20},3:04.18
Western Kentucky,3:04.24
TEXAS A&M {21},3:04.24
BAYLOR {4},3:04.24
TCU,3:04.25
OKLAHOMA {3},3:04.25
Clemson,3:04.28
LSU {4},3:04.28
TEXAS A&M {22},3:04.30
FLORIDA {17},3:04.31
OKLAHOMA {4},3:04.32
TENNESSEE {3},3:04.36
BAYLOR {5},3:04.37
TEXAS A&M {23},3:04.38
BAYLOR {6},3:04.40
TEXAS A&M {24},3:04.40
Texas,3:04.41
ALABAMA {4},3:04.42
ARKANSAS {6},3:04.42
LSU {5},3:04.44
FLORIDA {18},3:04.45
LSU {6},3:04.46
FLORIDA {19},3:04.46
OKLAHOMA {5},3:04.46
Minnesota,3:04.48
BAYLOR {7},3:04.49
ARIZONA STATE {3},3:04.49
Texas Tech,3:04.52
ARKANSAS {7},3:04.53
TEXAS {2},3:04.55
LSU {7},3:04.60
NORTH CAROLINA A&T {4},3:04.62
KENTUCKY {3},3:04.64
TENNESSEE {4},3:04.65
KENTUCKY {4},3:04.67
LSU {8},3:04.69
FLORIDA {20},3:04.69
GEORGIA {7},3:04.72
BAYLOR {8},3:04.72
BAYLOR {9},3:04.72
FLORIDA {21},3:04.74
FLORIDA {22},3:04.75
LSU {9},3:04.75
NORTH CAROLINA A&T {5},3:04.76
IOWA {2},3:04.76
BAYLOR {10},3:04.76
NORTH CAROLINA A&T {6},3:04.78
LSU {10},3:04.79
ARKANSAS {8},3:04.81
Nebraska,3:04.83
TEXAS A&M {25},3:04.84
GEORGIA {8},3:04.84
LSU {11},3:04.84
BAYLOR {11},3:04.86
SOUTHERN CALIFORNIA {5},3:04.86
TEXAS A&M {26},3:04.86
ARKANSAS {9},3:04.88
BAYLOR {12},3:04.89
ALABAMA {5},3:04.90
LSU {12},3:04.92
ARKANSAS {10},3:04.92
TEXAS TECH {2},3:04.93
ARKANSAS {11},3:04.94
TEXAS {3},3:04.95
Northern Iowa,3:04.95
LSU {13},3:04.96
TEXAS TECH {3},3:04.98
BAYLOR {13},3:05.01
ARKANSAS {12},3:05.02
UCLA {2},3:05.03
HOUSTON {4},3:05.04
TEXAS A&M {27},3:05.06
ARKANSAS {13},3:05.07
South Carolina,3:05.10
